value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
47.9,16.0,33.0,16.0,30.0,18.0,25.1,15.0,25.0,25.0,16.0,25.0,10.0,10.00002,10.0,10.00002,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.910735,7.89743,538.7076,876.7866,14.08234,1581.924,213.3686,855.1572
,,,,,,,,,,,,,,,,,,,,,,,,,,5.942779,7.900634,538.5645,877.8303,14.08043,1569.413,215.0435,857.1485
,,,,,,,,,,,,,,,,,,,,,,,,,,5.966812,7.903839,538.7076,880.5858,,1557.031,213.7606,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.910247,538.5645,887.3158,14.07661,1553.522,213.9458,855.6722
,,,,,,,,,,,,,,,,,,,,,,,,,,5.942779,7.919859,538.7076,887.0319,,1551.224,213.0319,855.377
,,,,,,,,,,,,,,,,,,,,,,,,,,5.933165,7.924666,538.5645,887.2067,14.0728,1553.24,213.3598,855.0817
,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.7076,894.8281,14.06898,1548.086,213.0579,854.1959
,,,,,,,,,,,,,,,,,,,,,,,,,,5.926757,7.929472,,891.7283,14.06708,1552.375,212.3673,853.015
,,,,,,,,,,,,,,,,,,,,,,,,,,5.934768,,,893.4255,14.0728,1564.32,215.9123,853.6055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.1677,14.08424,1566.708,214.1915,854.1206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.8506,891.9216,14.09569,1565.84,213.1261,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.942779,7.927871,,885.9835,14.10904,1567.061,212.0519,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.966812,7.929472,,875.7053,14.13383,1559.76,211.3059,842.6073
,,,,,,,,,,,,,,,,,,,,,,,,,,6.006866,7.932678,,878.5734,14.14337,1546.893,205.6497,839.6552
,,,,,,,,,,,,,,,,,,,,,,,,,,6.029296,7.935881,,875.9955,14.14909,1531.006,204.2008,836.6291
,,,,,,,,,,,,,,,,,,,,,,,,,,6.037306,7.940689,,878.4756,14.16054,1511.046,200.2669,833.0869
,,,,,,,,,,,,,,,,,,,,,,,,,,6.029296,7.953505,,882.1955,14.17198,1504.75,201.2317,830.4302
,,,,,,,,,,,,,,,,,,,,,,,,,,6.006866,7.966323,538.8506,879.6259,14.17961,1503.365,198.7334,827.4783
,,,,,,,,,,,,,,,,,,,,,,,,,,5.974823,7.969527,,874.4597,14.18152,1490.449,198.1744,824.2312
,,,,,,,,,,,,,,,,,,,,,,,,,,5.957198,,,879.3401,14.18915,1489.554,196.9714,819.8032
,,,,,,,,,,,,,,,,,,,,,,,,,,5.93637,7.971129,,875.0406,14.19868,1489.184,196.3607,817.1465
,,,,,,,,,,,,,,,,,,,,,,,,,,5.934768,7.972732,,872.7457,14.21585,1475.754,196.1968,813.6043
,,,,,,,,,,,,,,,,,,,,,,,,,,5.910735,,,870.4443,14.24446,1478.67,193.6084,804.3826
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.971129,,869.298,14.25972,1457.846,193.937,810.0621
,,,,,,,,,,,,,,,,,,,,,,,,,,5.926757,7.972732,,866.1125,14.27498,1419.903,192.6864,805.8585
,,,,,,,,,,,,,,,,,,,,,,,,,,5.942779,7.971129,,869.5934,14.28452,1397.8,191.4498,802.3163
,,,,,,,,,,,,,,,,,,,,,,,,,,5.958801,,,872.0071,,1382.548,191.069,799.9551
,,,,,,,,,,,,,,,,,,,,,,,,,,5.941177,7.975935,538.7076,874.7043,14.28833,1374.485,187.8186,797.2986
,,,,,,,,,,,,,,,,,,,,,,,,,,5.910735,7.985549,,876.7159,,1360.009,188.2294,794.347
,,,,,,,,,,,,,,,,,,,,,,,,,,5.877089,,538.5645,880.2587,14.28642,1354.748,190.1188,792.576
,,,,,,,,,,,,,,,,,,,,,,,,,,5.846649,,,883.3957,14.27307,1347.914,187.8624,795.0072
,,,,,,,,,,,,,,,,,,,,,,,,,,5.822616,,,881.7881,14.26353,1345.295,188.3733,796.7785
,,,,,,,,,,,,,,,,,,,,,,,,,,5.790572,7.983947,,884.458,14.26163,1350.329,189.663,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.774551,7.982344,538.4214,884.2783,,1348.666,192.5345,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.758529,7.975935,,884.103,14.26353,1356.408,193.5446,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.736099,7.969527,,887.0551,14.254,1362.298,195.6799,809.543
,,,,,,,,,,,,,,,,,,,,,,,,,,5.726486,7.963119,538.2783,880.0256,14.26735,1355.356,195.8381,800.3912
,,,,,,,,,,,,,,,,,,,,,,,,,,5.736099,7.95671,538.1352,886.6928,14.25781,1339.406,197.272,804.3
,,,,,,,,,,,,,,,,,,,,,,,,,,5.734497,7.950302,,883.0873,14.25209,1327.307,196.7635,795.7378
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.947096,,885.4692,14.23683,1327.099,194.355,798.6904
,,,,,,,,,,,,,,,,,,,,,,,,,,5.720077,7.943893,537.9921,879.9543,14.23111,1334.771,193.955,796.3987
,,,,,,,,,,,,,,,,,,,,,,,,,,5.686431,7.940689,537.849,885.0983,14.21394,1338.649,195.6336,795.2175
,,,,,,,,,,,,,,,,,,,,,,,,,,5.654388,7.939086,,884.6207,14.20059,1337.544,194.5261,796.9892
,,,,,,,,,,,,,,,,,,,,,,,,,,5.606323,7.929472,537.7059,886.7189,14.18915,1340.976,195.2556,797.0595
,,,,,,,,,,,,,,,,,,,,,,,,,,5.564666,7.919859,,888.4253,14.18343,1352.13,193.3331,797.1298
,,,,,,,,,,,,,,,,,,,,,,,,,,5.542236,7.910247,,881.3978,14.18533,1370.922,193.7449,798.6064
,,,,,,,,,,,,,,,,,,,,,,,,,,5.527815,7.89743,537.5628,879.7837,14.19106,1379.93,193.4821,798.0156
,,,,,,,,,,,,,,,,,,,,,,,,,,5.526214,7.886215,,874.3117,14.19678,1382.587,193.6613,798.6064
,,,,,,,,,,,,,,,,,,,,,,,,,,5.534225,7.863784,537.4198,870.2577,14.19868,1375.767,194.0881,799.2676
,,,,,,,,,,,,,,,,,,,,,,,,,,5.550246,7.839751,,870.838,14.19678,1364.928,192.1498,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.575881,7.826933,537.2767,871.8045,14.18724,1348.76,192.6766,798.7473
,,,,,,,,,,,,,,,,,,,,,,,,,,5.574279,7.815718,537.1336,870.9276,14.18915,1343.369,192.1399,789.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.806106,,875.5521,14.17007,1337.657,190.9815,790.7721
,,,,,,,,,,,,,,,,,,,,,,,,,,5.558258,7.802902,536.9905,876.225,14.16245,1335.675,189.4931,785.7509
,,,,,,,,,,,,,,,,,,,,,,,,,,5.526214,7.793288,536.8474,881.105,14.14337,1332.677,189.2612,783.7525
,,,,,,,,,,,,,,,,,,,,,,,,,,5.481352,7.783676,,888.0595,14.12811,1333.912,187.1094,782.0491
,,,,,,,,,,,,,,,,,,,,,,,,,,5.463728,7.775664,,888.9084,14.12048,1344.917,187.0608,781.1628
,,,,,,,,,,,,,,,,,,,,,,,,,,5.447707,7.766052,536.7043,884.9205,14.1243,1348.333,187.1721,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.463728,7.759642,536.5612,882.3506,14.13002,1346.767,186.79,784.4818
,,,,,,,,,,,,,,,,,,,,,,,,,,5.487761,7.751632,,869.6575,14.14146,1344.98,185.5096,780.05
,,,,,,,,,,,,,,,,,,,,,,,,,,5.526214,7.742018,,866.7477,14.14909,1335.582,185.1526,779.2324
,,,,,,,,,,,,,,,,,,,,,,,,,,5.558258,7.734008,536.4182,862.9459,14.13955,1303.67,183.5961,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.599914,7.729201,536.275,859.1241,14.13765,1283.168,183.8296,776.9372
,,,,,,,,,,,,,,,,,,,,,,,,,,5.623946,7.730803,536.132,862.0609,14.13193,1274.558,184.9047,775.4597
,,,,,,,,,,,,,,,,,,,,,,,,,,5.638366,7.729201,,863.0386,14.1243,1271.378,184.6493,774.8687
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.738815,535.9889,868.5817,14.10713,1269.831,186.0313,777.3013
,,,,,,,,,,,,,,,,,,,,,,,,,,5.607924,7.748428,,868.6749,14.0995,1273.355,188.2661,771.9818
,,,,,,,,,,,,,,,,,,,,,,,,,,5.58229,7.753233,535.8458,870.122,14.08424,1275.815,187.2008,770.2767
,,,,,,,,,,,,,,,,,,,,,,,,,,5.566268,7.761245,535.7027,875.1449,14.07471,1281.333,186.6353,769.39
,,,,,,,,,,,,,,,,,,,,,,,,,,5.55986,7.766052,,876.0112,14.07089,1292.752,187.6498,768.2078
,,,,,,,,,,,,,,,,,,,,,,,,,,5.543837,7.769255,535.5596,872.9305,,1301.498,186.7209,768.2756
,,,,,,,,,,,,,,,,,,,,,,,,,,5.542236,,,868.3833,,1307.608,187.6433,767.0932
,,,,,,,,,,,,,,,,,,,,,,,,,,5.543837,,535.4164,866.0464,14.06708,1303.759,187.4109,766.2742
,,,,,,,,,,,,,,,,,,,,,,,,,,5.558258,,535.2734,870.5192,14.06326,1291.454,187.0861,765.683
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.766052,,873.4131,14.04228,1277.732,186.595,770.4127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.1303,874.0887,14.02893,1274.696,185.4584,771.5952
,,,,,,,,,,,,,,,,,,,,,,,,,,5.543837,,534.9872,870.889,14.01367,1269.197,190.4786,771.0721
,,,,,,,,,,,,,,,,,,,,,,,,,,5.534225,,,871.7518,13.99269,1279.656,189.5236,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.511795,,534.8441,874.1664,13.97362,1284.803,191.7396,771.4357
,,,,,,,,,,,,,,,,,,,,,,,,,,5.487761,,534.701,879.4579,13.95454,1299.598,192.0107,771.7316
,,,,,,,,,,,,,,,,,,,,,,,,,,5.463728,7.762847,,878.8776,13.94119,1322.921,192.507,772.3229
,,,,,,,,,,,,,,,,,,,,,,,,,,5.447707,7.761245,,881.2792,13.93166,1337.398,194.582,772.0954
,,,,,,,,,,,,,,,,,,,,,,,,,,,7.754837,534.5579,874.3475,13.92784,1348.691,193.43,772.6869
,,,,,,,,,,,,,,,,,,,,,,,,,,5.439697,7.745224,,869.9971,,1351.76,196.3319,773.2783
